ROI_name,Region Name,SUM of UC,SUM of OC,Inconsistency,Equal,Label
A24rv_R,A23d_R,1,0,False,False,482
A24rv_R,A38m_R,1,0,False,False,483
A24rv_R,G_R,1,0,False,False,484
A24rv_R,Left IX,1,0,False,False,485
A24rv_R,Vermis IX,1,0,False,False,486
A31_L,A10m_L,1,0,False,False,487
A31_L,A11m_L,1,0,False,False,488
A31_L,A11m_R,1,0,False,False,489
A31_L,A22r_L,1,0,False,False,490
A31_L,A23d_L,1,0,False,False,491
A31_L,A38l_L,1,0,False,False,492
A31_L,A38l_R,1,0,False,False,493
A31_L,A38m_L,1,0,False,False,494
A31_L,A38m_R,1,0,False,False,495
A31_L,aSTS_L,1,0,False,False,496
aSTS_L,A31_L,1,0,False,False,496
A31_L,vmPOS_R,1,0,False,False,497
A32p_L,A23c_L,1,0,False,False,498
A32p_L,A23c_R,1,0,False,False,499
A32p_L,A23d_R,1,0,False,False,500
A32p_L,A35/36c_R,1,0,False,False,501
A32p_L,A38m_R,1,0,False,False,502
A38m_R,A32p_L,1,0,False,False,502
A32p_L,A39rv_R,1,0,False,False,503
A32p_L,Left IX,1,0,False,False,504
A32p_L,Left VI,1,0,False,False,505
A32p_L,lPFtha_L,1,0,False,False,506
A32p_L,mPFtha_L,1,0,False,False,507
A32p_L,Vermis IX,1,0,False,False,508
A32sg_L,A23c_L,1,0,False,False,509
A32sg_L,A23c_R,1,0,False,False,510
A32sg_L,A31_L,1,0,False,False,511
A32sg_L,A31_R,1,0,False,False,512
A32sg_L,A38m_R,1,0,False,False,513
A32sg_L,A39rv_R,1,0,False,False,514
A32sg_L,dmPOS_L,1,0,False,False,515
A32sg_L,Left IX,1,0,False,False,516
A32sg_L,rCunG_R,1,0,False,False,517
A32sg_L,vmPOS_R,1,0,False,False,518
A35/36r_R,Left I-IV,1,0,False,False,519
A35/36r_R,rLinG_L,1,0,False,False,520
A35/36r_R,TH_L,1,0,False,False,521
A35/36r_R,vmPOS_R,1,0,False,False,522
