Cluster Number,Max Value,Num Voxels,Percentage of Voxel,MNI Coordinates,Region Name,ROI_Idx,ROI_name,Conectivity
5,-13.0,12,4.838709677419355, 0 -75 18,rCunG_L,48,A11m_R,-1
5,-13.0,23,10.31390134529148, 3 -69 15,rCunG_R,48,A11m_R,-1
5,-10.0,3,1.675977653631285, -6 -63 0,rLinG_L,48,A11m_R,-1
5,-11.0,3,1.4851485148514851, 6 -63 3,rLinG_R,48,A11m_R,-1
5,-13.0,90,30.0, -6 -69 15,vmPOS_L,48,A11m_R,-1
5,-13.0,81,26.04501607717042, 6 -63 12,vmPOS_R,48,A11m_R,-1
5,-15.0,25,7.462686567164179, -6 -54 0,Left I-IV,48,A11m_R,-1
5,-11.0,3,0.9463722397476341, 6 -45 0,Right I-IV,48,A11m_R,-1
5,-12.0,7,2.046783625730994, 0 -63 -3,Left V,48,A11m_R,-1
5,-11.0,5,1.8115942028985508, 3 -60 0,Right V,48,A11m_R,-1
6,-11.0,4,2.185792349726776, 24 -36 63,A1/2/3tru_R,48,A11m_R,-1
7,-11.0,58,26.126126126126128, 24 27 45,A8dl_R,48,A11m_R,-1
8,-11.0,4,1.7094017094017093, -3 -57 -51,Left IX,48,A11m_R,-1
8,-10.0,3,1.1406844106463878, 3 -60 -51,Right IX,48,A11m_R,-1
9,-10.0,2,0.8097165991902834, 3 63 21,A10m_R,48,A11m_R,-1
10,-10.0,1,0.5, 3 66 -3,A11m_R,48,A11m_R,-1
11,-11.0,1,0.4048582995951417, 0 63 6,A10m_R,48,A11m_R,-1
12,-10.0,1,1.639344262295082, -3 -12 33,A24rv_L,48,A11m_R,-1
13,-15.0,6,1.8808777429467085, -6 72 3,A10m_L,48,A11m_R,-1
13,-12.0,12,7.317073170731708, -3 66 0,A14m_L,48,A11m_R,-1
13,-12.0,3,1.675977653631285, -6 72 -6,A11m_L,48,A11m_R,-1
14,-10.0,1,0.29850746268656714, -6 -42 -3,Left I-IV,48,A11m_R,-1
15,-11.0,1,0.42016806722689076, -9 -54 36,A31_L,48,A11m_R,-1
16,-10.0,3,0.9404388714733543, -9 66 18,A10m_L,48,A11m_R,-1
