ROI_name,Region Name,SUM of UC,SUM of OC,Inconsistency,Equal
A21r_R,vmPOS_R,1,0,FALSE,FALSE
A22r_L,A1/2/3tonIa_L,1,0,FALSE,FALSE
A22r_L,A40rv_L,1,0,FALSE,FALSE
A23c_L,A21r_L,1,0,FALSE,FALSE
A23c_L,A21r_R,1,0,FALSE,FALSE
A23c_L,mAmyg_L,1,0,FALSE,FALSE
A23c_L,vmPu_R,1,0,FALSE,FALSE
A23c_R,A14m_R,1,0,FALSE,FALSE
A23c_R,A21r_R,1,0,FALSE,FALSE
A23c_R,A28/34_R,1,0,FALSE,FALSE
A23c_R,A32sg_R,1,0,FALSE,FALSE
A23c_R,A38m_R,1,0,FALSE,FALSE
A23c_R,NAC_R,1,0,FALSE,FALSE
A23c_R,rHipp_R,1,0,FALSE,FALSE
A23v_L,A10m_R,1,0,FALSE,FALSE
A23v_L,A11m_R,1,0,FALSE,FALSE
A23v_L,A21c_R,1,0,FALSE,FALSE
A23v_L,A21r_L,1,0,FALSE,FALSE
A23v_L,aSTS_L,1,0,FALSE,FALSE
A23v_R,A10m_R,1,0,FALSE,FALSE
A23v_R,A11m_L,1,0,FALSE,FALSE
A23v_R,A11m_R,1,0,FALSE,FALSE
A23v_R,A13_L,1,0,FALSE,FALSE
A23v_R,A13_R,1,0,FALSE,FALSE
A23v_R,A14m_L,1,0,FALSE,FALSE
A23v_R,A23v_R,1,0,FALSE,TRUE
A23v_R,A31_L,1,0,FALSE,FALSE
A23v_R,A32sg_L,1,0,FALSE,FALSE
A24rv_R,A1/2/3tru_R,1,0,FALSE,FALSE
A24rv_R,A23c_L,1,0,FALSE,FALSE
A24rv_R,A23c_R,1,0,FALSE,FALSE
